año;título;descripción;localización;fecha inicio;fecha fin;duracion;tipo ayuda;vía canalización;odm;meta odm;tipo beneficiarios;numero beneficiarios;mujeres beneficiadas;resultado;región;área;renta;tema;importe comprometido;importe abonado;tipo organismo;organismo;agencia;número intervención;código interno
2007;FORTALECIMIENTO DE LAS ASOCIACIONES DEL SECTOR PRIVADO EN CENTROAMÉRICA;APOYO A LA IMPLANTACION DE ASOCIACIONES EMPRESARIALES CENTROAMERICANAS, Y A LA MEJORA DE SERVICIOS PRESTADOS A SUS ASOCIADOS;MUNICIPIOS DE PINER DEL RIO, HABANA VIEJA, HOLGUÍN, GUANTÁNAMO Y SANTIAGO DE CUBA;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;POBLACIÓN DE HOLGUIN Y PINAR DEL RIO;Sin datos ese año;Sin datos ese año;MEJORA DE LAS CAPACIDADES DE ARTICULACIÓN, IDENTIFICACI´N Y PLANEACIÓN TERRITORIALES;CUBA;AMECEN;PRMB;25010;399.500;199.500;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-03056;Sin datos ese año
2007;APOYO INSTITUCIONAL PARA LA EJECUCIÓN DEL PROGRAMA DE REHABILITACIÓN DE BASE COMUNITARIA EN EL NORTE DE MARRUECOS  ;APOYO INSTITUCIONAL PARA LA EJECUCIÓN DEL PROGRAMA DE REHABILITACIÓN DE BASE COMUNITARIA EN EL NORTE DE MARRUECOS  ;ND;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;ND;MARRUECOS;AFRNOR;PRMB;15150;533.604;533.604;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02886;Sin datos ese año
2007;APOYO INSTITUCIONAL PARA LA EJECUCIÓN DEL PROGRAMA DE REHABILITACIÓN DE BASE COMUNITARIA EN EL NORTE DE MARRUECOS  ;APOYO INSTITUCIONAL PARA LA EJECUCIÓN DEL PROGRAMA DE REHABILITACIÓN DE BASE COMUNITARIA EN EL NORTE DE MARRUECOS  ;ALHUCEMAS;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;ND;MARRUECOS;AFRNOR;PRMB;15150;732.000;732.000;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02887;Sin datos ese año
2007;FORTALECIMIENTO DE ASOCIACIONES Y COOPERATIVAS EN LA REGIÓN DE ALHUCEMAS, TAZA, TAOUNATE;EL PROYECTO RESPONDE A UNA ESTRATEGIA DE FORTALECIMIENTO DE ASOCIACIONES Y COOPERATIVAS A TRAVÉS DE LA CAPACITACIÓN DE LOS INTEGRANTES DE LAS ASOCIACIONES A TRAVES DE DOS NIVELES DE FORMACIÓN, UNO DIRIGIDO A FORMADORES Y OTRO A POBLACIÓN EN GENERAL. DIFUS;PROVINCIA DE ALHUCEMAS, TAZA, TAOUNATE - ALHUCEMAS, TAZA, TAOUNATE;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;CAPACITADA Y FORTALECIDA LA CÉDULA DE SEGUIMIENTO DE PROYECTOS DE LA RED AL AMAL;MARRUECOS;AFRNOR;PRMB;15150;300.000;300.000;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02920;Sin datos ese año
2007;DESARROLLO ASOCIATIVO Y ECONÓMICO DE DOMBE GRANDE;EL PROYECTO CONSISTE EN EL REFUERZO DE LAS ASOCIACIONES DE CAMPESINOS CON LA INTENCIÓN DE QUE EL PROCESO DESEMBOQUE EN LA CONSTITUCIÓN DE UNA COOPERATIVA DE CAMPESINOS. PARA GESTIONAR CON MEDIOS DE PRODUCCIÓN PROPIOS LA PREPARACIÓN DE LAS TIERRAS Y EL TRA;MUNICIPIO DE BAÍA FARTA, PROVINCIA DE BENGUELA - DOMBE GRANDE;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;FORMADA UNA COOPERATIVA DE CAMPESINOS DE DOMBE GRANDE;ANGOLA;AFRSUB;PMA;15150;221.837;221.837;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02921;Sin datos ese año
2007;FORTALECIMIENTO DE LA CONTRIBUCIÓN DE LA SOCIEDAD CUBANA DE ENFERMERÍA AL PROCESO DE DESARROLLO HUMANO;CON ESTE PROYECTO SE PRETENDE AMPLIAR LA COBERTURA DE LA INTERVENCIÓN A LA TOTALIDAD DE LAS PROVINCIAS DEL ÁMBITO NACIONAL, CONTINUANDO EL PROCESO DE FORTALECIMIENTO DE LOS PROCESOS DE GESTIÓN DEL NIVEL CENTRAL Y PERIFÉRICO DE LA SOUENF, SEGÚN UN ESQUEMA ;CUBA;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;AMPLIACIÓN DE LA COBERTURA DE LA RED INFORMÁTICA DE LA COUENF CON ACCESO A INTERNET-INFOMED AL 100% DE LAS PROVINCIAS DEL ÁMBITO NACIONAL Y AL 100% DE LOS MUNICIPIOS DE LAS PROVINCIAS DE SANTIAGO DE CUBA, CAMAGÜEY Y VILLA CLARA;CUBA;AMECEN;PRMB;15150;299.993;299.993;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02944;Sin datos ese año
2007;FORTALECIMIENTO DE LAS INSTITUCIONES LOCALES Y GRUPOS DE DESARROLLO PARA EL FOMENTO SOCIOECONÓMICO;INCREMENTAR LA CAPACIDAD DE LAS ORGANIZACIONES LOCALES PARA CONDUCIR LAS ESTRATEGIAS Y A LOS ACTORES SOCIALES HACIA LA CONSOLIDACIÓN DE SUS INSTITUCIONES, EL DESARROLLO Y LA EQUIDAD;MANABÍ;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;SE HA FORTALECIDO LA AGENCIA DE DESARROLLO PROVINCIAL DE MANABÍ: CREACIÓN DE LA UNIDAD DE GESTIÓN DEL PROYECTO Y ASISTENCIA TÉCNICA Y ASESORAMIENTO A LA AGENCIA DE DESARROLLO PROVINCIAL DE MANABÍ;ECUADOR;AMESUR;PRMB;15150;300.000;300.000;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02953;Sin datos ese año
2007;PROGRAMA DE DESARROLLO INTEGRAL DE LA JUVENTUD Y FORTALECIMIENTO DEL TEJIDO ASOCIATIVO DE LA COMUNIDAD GREGORIO LUPERÓN, SAN FRANCISCO DE MACORÍS;INSERCIÓN LABORAL DE LOS/AS JÓVENES DE LA COMUNIDAD GREGORIO LUPERÓN, EL AUMENTO DE SU INTEGRACIÓN Y PARTICIPACIÓN EN LA COMUNIDAD, Y UNA CONVIVENCIA FAMILIAR MÁS SANA Y ENRIQUECEDORA;PROVINCIA DUARTE - SAN FRANCISCO DE MACORIS;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;JÓVENES DE LA COMUNIDAD GREGORIO LUPERÓN;Sin datos ese año;Sin datos ese año;MEJORADA  LA CAPACITACIÓN PROFESIONAL Y LA INSERCIÓN LABORAL DE 50 JÓVENES DE ESCASOS RECURSOS.;DOMINICANA, REP.;AMECEN;PRMB;15150;133.973;133.973;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02990;Sin datos ese año
2007;APOYO AL DESARROLLO HUMANO LOCAL EN CUBA;ACCIONES CONCRETAS, VINCUALDAS A LA EJECUCIÓN DE DE PROYECTOS DE DESARROLLO PRIORIZADOS Y A LA PROMOCIÓN Y FOMENTO DE LA COOPERACIÓN TÉCNICA, LA RELACIÓN ENTRE LAS CIUDADES Y LA VINCULACIÓN ENTRE LA COOPERACIÓN MULTILATERAL Y LA COOPERACIÓN DESCENTRALIZADA;ND;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;ND;CUBA;AMECEN;PRMB;15150;40.000;40147;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-03057;Sin datos ese año
2007;FORMACIÓN DE LÍDERES SOCIALES PARA LA PROMOCIÓN Y DEFENSA DE LOS DERECHOS HUMANOS EN CANGALLO, AYACUCHO;EL PROYECTO BUSCA DISMINUIR LA VULNERABILIDAD DE LA POBLACIÓN CAMPESINA E INDÍGENA DE LA PROVINCIA DE CANGALLO CON ESPECIAL ATENCIÓN A LAS VÍCTIMAS DE LA VIOLENCIA POLÍTICA Y FAMILIAR. SE PRETENDE QUE LA POBLACIÓN CONOZCA SUS DERECHOS Y ESTÉ EN CAPACIDAD ;AYACUCHO, CANGALLO;39.083;Sin datos ese año;1;;Bilateral;Sin datos ese año;Sin datos ese año;ND;Sin datos ese año;Sin datos ese año;LÍDERES Y AUTORIDADES FORMADAS COMO LÍDERES SOCIALES ESTÁN CAPACITADOS, CONOCEN LOS DERECHOS HUMANOS Y ESTÁN EN CONDICIONES DE REALIZAR UN EFECTO MULITPLICADOR;PERÚ;AMESUR;PRMB;15162;206.534;206.534;Comunidades Autónomas;CCAA AND - Andalucía;CCAA AND AACI - Andalucía - Agencia Andaluza de Cooperación Internacional;07-BBB-02919;Sin datos ese año
